split_index,test_start,test_end,regime,return_period,threshold,net_return,sharpe,max_drawdown,win_rate,funding_cost,gross_return,benchmark_return,excess_return,funding_drag_ratio,bar_count
0,2021-09-28T00:00:00+00:00,2021-12-27T00:00:00+00:00,all,20,0.0,2.893588,4.9486,0.282266,0.5574,0.0,0.0,1.14862,1.744968,0.0,714
0,2021-09-28T00:00:00+00:00,2021-12-27T00:00:00+00:00,all,20,0.03,3.05988,6.4489,0.201418,0.5788,0.0,0.0,1.14862,1.91126,0.0,546
0,2021-09-28T00:00:00+00:00,2021-12-27T00:00:00+00:00,all,40,0.0,1.696527,3.1496,0.287298,0.5228,0.0,0.0,1.14862,0.547907,0.0,635
0,2021-09-28T00:00:00+00:00,2021-12-27T00:00:00+00:00,all,40,0.03,1.607835,3.2669,0.242644,0.5241,0.0,0.0,1.14862,0.459215,0.0,561
1,2021-12-27T00:00:00+00:00,2022-03-27T00:00:00+00:00,all,20,0.0,2.413616,6.1934,0.292833,0.5682,0.0,0.0,-1.016738,3.430353,0.0,572
1,2021-12-27T00:00:00+00:00,2022-03-27T00:00:00+00:00,all,20,0.03,2.239827,6.9985,0.242876,0.573,0.0,0.0,-1.016738,3.256564,0.0,445
1,2021-12-27T00:00:00+00:00,2022-03-27T00:00:00+00:00,all,40,0.0,1.250201,3.8427,0.450103,0.5609,0.0,0.0,-1.016738,2.266939,0.0,419
1,2021-12-27T00:00:00+00:00,2022-03-27T00:00:00+00:00,all,40,0.03,1.538848,5.54,0.240837,0.5722,0.0,0.0,-1.016738,2.555586,0.0,360
2,2022-03-27T00:00:00+00:00,2022-06-25T00:00:00+00:00,all,20,0.0,2.028166,8.846,0.334585,0.622,0.0,0.0,-5.503295,7.531461,0.0,246
2,2022-03-27T00:00:00+00:00,2022-06-25T00:00:00+00:00,all,20,0.03,1.699378,13.818,0.20565,0.7168,0.0,0.0,-5.503295,7.202673,0.0,113
2,2022-03-27T00:00:00+00:00,2022-06-25T00:00:00+00:00,all,40,0.0,0.363932,6.754,0.151243,0.5132,0.0,0.0,-5.503295,5.867227,0.0,76
2,2022-03-27T00:00:00+00:00,2022-06-25T00:00:00+00:00,all,40,0.03,0.164543,5.8322,0.086824,0.4762,0.0,0.0,-5.503295,5.667838,0.0,42
3,2022-06-25T00:00:00+00:00,2022-09-23T00:00:00+00:00,all,20,0.0,2.213143,4.4703,0.404864,0.5563,0.0,0.0,0.746466,1.466676,0.0,604
3,2022-06-25T00:00:00+00:00,2022-09-23T00:00:00+00:00,all,20,0.03,1.907981,4.7755,0.388278,0.5506,0.0,0.0,0.746466,1.161514,0.0,474
3,2022-06-25T00:00:00+00:00,2022-09-23T00:00:00+00:00,all,40,0.0,1.713231,3.1533,0.467107,0.5289,0.0,0.0,0.746466,0.966764,0.0,641
3,2022-06-25T00:00:00+00:00,2022-09-23T00:00:00+00:00,all,40,0.03,2.304185,4.9507,0.467107,0.553,0.0,0.0,0.746466,1.557719,0.0,528
4,2022-09-23T00:00:00+00:00,2022-12-22T00:00:00+00:00,all,20,0.0,1.355748,4.9674,0.195495,0.5444,0.0,0.0,-2.216611,3.572359,0.0,518
4,2022-09-23T00:00:00+00:00,2022-12-22T00:00:00+00:00,all,20,0.03,1.037918,6.7185,0.295644,0.5802,0.0,0.0,-2.216611,3.254529,0.0,262
4,2022-09-23T00:00:00+00:00,2022-12-22T00:00:00+00:00,all,40,0.0,0.675771,2.6756,0.366716,0.4966,0.0,0.0,-2.216611,2.892382,0.0,437
4,2022-09-23T00:00:00+00:00,2022-12-22T00:00:00+00:00,all,40,0.03,0.839929,4.2052,0.354423,0.5207,0.0,0.0,-2.216611,3.056539,0.0,338
5,2022-12-22T00:00:00+00:00,2023-03-22T00:00:00+00:00,all,20,0.0,3.47431,6.1053,0.323697,0.5584,0.0,0.0,2.457307,1.017002,0.0,702
5,2022-12-22T00:00:00+00:00,2023-03-22T00:00:00+00:00,all,20,0.03,3.121918,6.831,0.287718,0.5883,0.0,0.0,2.457307,0.664611,0.0,532
5,2022-12-22T00:00:00+00:00,2023-03-22T00:00:00+00:00,all,40,0.0,2.748029,5.1481,0.301597,0.5247,0.0,0.0,2.457307,0.290722,0.0,709
5,2022-12-22T00:00:00+00:00,2023-03-22T00:00:00+00:00,all,40,0.03,2.699825,5.9391,0.301597,0.5412,0.0,0.0,2.457307,0.242518,0.0,571
6,2023-03-22T00:00:00+00:00,2023-06-20T00:00:00+00:00,all,20,0.0,1.291931,5.0639,0.182847,0.554,0.0,0.0,-0.570136,1.862067,0.0,565
6,2023-03-22T00:00:00+00:00,2023-06-20T00:00:00+00:00,all,20,0.03,1.073053,7.4944,0.126064,0.5563,0.0,0.0,-0.570136,1.64319,0.0,284
6,2023-03-22T00:00:00+00:00,2023-06-20T00:00:00+00:00,all,40,0.0,0.495883,2.2211,0.402564,0.5455,0.0,0.0,-0.570136,1.06602,0.0,462
6,2023-03-22T00:00:00+00:00,2023-06-20T00:00:00+00:00,all,40,0.03,0.595664,3.8255,0.251525,0.5581,0.0,0.0,-0.570136,1.1658,0.0,301
7,2023-06-20T00:00:00+00:00,2023-09-18T00:00:00+00:00,all,20,0.0,1.329487,3.6285,0.318125,0.5195,0.0,0.0,-0.317767,1.647254,0.0,462
7,2023-06-20T00:00:00+00:00,2023-09-18T00:00:00+00:00,all,20,0.03,1.443474,6.3232,0.262598,0.5423,0.0,0.0,-0.317767,1.761242,0.0,201
7,2023-06-20T00:00:00+00:00,2023-09-18T00:00:00+00:00,all,40,0.0,0.815777,2.8543,0.344237,0.5099,0.0,0.0,-0.317767,1.133544,0.0,302
7,2023-06-20T00:00:00+00:00,2023-09-18T00:00:00+00:00,all,40,0.03,0.865086,3.9733,0.320709,0.5191,0.0,0.0,-0.317767,1.182853,0.0,183
8,2023-09-18T00:00:00+00:00,2023-12-17T00:00:00+00:00,all,20,0.0,2.955641,5.7789,0.268848,0.5648,0.0,0.0,2.531174,0.424467,0.0,825
8,2023-09-18T00:00:00+00:00,2023-12-17T00:00:00+00:00,all,20,0.03,3.059631,7.5796,0.186994,0.5918,0.0,0.0,2.531174,0.528457,0.0,588
8,2023-09-18T00:00:00+00:00,2023-12-17T00:00:00+00:00,all,40,0.0,2.00261,3.6353,0.38686,0.5321,0.0,0.0,2.531174,-0.528564,0.0,887
8,2023-09-18T00:00:00+00:00,2023-12-17T00:00:00+00:00,all,40,0.03,2.171429,4.4862,0.336512,0.5471,0.0,0.0,2.531174,-0.359745,0.0,733
9,2023-12-17T00:00:00+00:00,2024-03-16T00:00:00+00:00,all,20,0.0,2.474441,4.9879,0.267321,0.5531,0.0,0.0,1.729582,0.744859,0.0,781
9,2023-12-17T00:00:00+00:00,2024-03-16T00:00:00+00:00,all,20,0.03,2.734264,6.6522,0.206125,0.5809,0.0,0.0,1.729582,1.004681,0.0,618
9,2023-12-17T00:00:00+00:00,2024-03-16T00:00:00+00:00,all,40,0.0,1.673939,3.5669,0.323893,0.5452,0.0,0.0,1.729582,-0.055643,0.0,752
9,2023-12-17T00:00:00+00:00,2024-03-16T00:00:00+00:00,all,40,0.03,1.559414,3.7402,0.323893,0.5419,0.0,0.0,1.729582,-0.170168,0.0,657
10,2024-03-16T00:00:00+00:00,2024-06-14T00:00:00+00:00,all,20,0.0,0.914006,2.9584,0.369062,0.5159,0.0,0.0,-1.015187,1.929192,0.0,533
10,2024-03-16T00:00:00+00:00,2024-06-14T00:00:00+00:00,all,20,0.03,0.817593,3.7067,0.366908,0.5145,0.0,0.0,-1.015187,1.83278,0.0,346
