split_index,test_start,test_end,regime,return_period,threshold,net_return,sharpe,max_drawdown,win_rate,funding_cost,gross_return,benchmark_return,excess_return,funding_drag_ratio,bar_count,avg_portfolio_heat,heat_cap_applications
0,2021-12-28T00:00:00,2022-03-28T00:00:00,all,20,0.0,1.050461,3.9681,0.166675,0.2259,0.0,0.0,-0.668772,1.719233,0.0,540,0.072613,0
0,2021-12-28T00:00:00,2022-03-28T00:00:00,all,20,0.03,0.830474,3.2286,0.166675,0.1685,0.0,0.0,-0.668772,1.499246,0.0,540,0.074934,0
0,2021-12-28T00:00:00,2022-03-28T00:00:00,all,40,0.0,0.348322,1.2485,0.225758,0.1852,0.0,0.0,-0.668772,1.017094,0.0,540,0.072612,0
0,2021-12-28T00:00:00,2022-03-28T00:00:00,all,40,0.03,0.540277,2.0314,0.215338,0.1593,0.0,0.0,-0.668772,1.209049,0.0,540,0.072744,0
1,2022-03-28T00:00:00,2022-06-26T00:00:00,all,20,0.0,0.703662,3.0941,0.098334,0.1278,0.0,0.0,-5.546011,6.249673,0.0,540,0.080818,0
1,2022-03-28T00:00:00,2022-06-26T00:00:00,all,20,0.03,0.531991,2.6539,0.117706,0.0685,0.0,0.0,-5.546011,6.078002,0.0,540,0.089115,0
1,2022-03-28T00:00:00,2022-06-26T00:00:00,all,40,0.0,0.343663,2.5597,0.086209,0.0537,0.0,0.0,-5.546011,5.889674,0.0,540,0.069456,0
1,2022-03-28T00:00:00,2022-06-26T00:00:00,all,40,0.03,0.130902,1.1948,0.083304,0.0296,0.0,0.0,-5.546011,5.676913,0.0,540,0.075108,0
2,2022-06-26T00:00:00,2022-09-24T00:00:00,all,20,0.0,0.862074,3.056,0.15569,0.2241,0.0,0.0,0.799182,0.062892,0.0,540,0.076583,0
2,2022-06-26T00:00:00,2022-09-24T00:00:00,all,20,0.03,0.967745,3.5246,0.118297,0.1926,0.0,0.0,0.799182,0.168563,0.0,540,0.077783,0
2,2022-06-26T00:00:00,2022-09-24T00:00:00,all,40,0.0,0.694808,2.3885,0.185469,0.2222,0.0,0.0,0.799182,-0.104374,0.0,540,0.075609,0
2,2022-06-26T00:00:00,2022-09-24T00:00:00,all,40,0.03,0.877659,3.0379,0.175213,0.2074,0.0,0.0,0.799182,0.078477,0.0,540,0.078585,0
3,2022-09-24T00:00:00,2022-12-23T00:00:00,all,20,0.0,0.433612,2.5698,0.100387,0.2037,0.0,0.0,-2.16282,2.596432,0.0,540,0.075337,0
