split_index,test_start,test_end,param_return_period,param_threshold,universe,tsmm_low_vol_return,tsmm_low_vol_trials,tsmm_low_vol_sign,tsmm_high_vol_return,tsmm_high_vol_trials,tsmm_high_vol_sign,tsmm_total_return,tsmm_total_trials,benchmark_low_vol_return,benchmark_high_vol_return,benchmark_total_return,low_vol_excess,high_vol_excess,total_excess
0,2021-12-28T00:00:00,2022-03-28T00:00:00,20,0.0,BTCUSDT|ETHUSDT|SOLUSDT|ADAUSDT|XRPUSDT,1.576556,431,positive,1.183703,156,positive,2.760259,587,0.607345,-1.276117,-0.668772,0.969211,2.45982,3.429031
0,2021-12-28T00:00:00,2022-03-28T00:00:00,20,0.03,BTCUSDT|ETHUSDT|SOLUSDT|ADAUSDT|XRPUSDT,1.525326,333,positive,1.030915,127,positive,2.556241,460,0.607345,-1.276117,-0.668772,0.917981,2.307032,3.225013
0,2021-12-28T00:00:00,2022-03-28T00:00:00,40,0.0,BTCUSDT|ETHUSDT|SOLUSDT|ADAUSDT|XRPUSDT,1.431878,345,positive,0.126097,89,positive,1.557975,434,0.607345,-1.276117,-0.668772,0.824533,1.402214,2.226747
0,2021-12-28T00:00:00,2022-03-28T00:00:00,40,0.03,BTCUSDT|ETHUSDT|SOLUSDT|ADAUSDT|XRPUSDT,1.679726,305,positive,0.154124,70,positive,1.83385,375,0.607345,-1.276117,-0.668772,1.072381,1.430241,2.502622
1,2022-03-28T00:00:00,2022-06-26T00:00:00,20,0.0,BTCUSDT|ETHUSDT|MATICUSDT|SOLUSDT|AVAXUSDT,0.633053,108,positive,1.417801,142,positive,2.050854,250,-1.208274,-4.337737,-5.546011,1.841327,5.755538,7.596865
1,2022-03-28T00:00:00,2022-06-26T00:00:00,20,0.03,BTCUSDT|ETHUSDT|MATICUSDT|SOLUSDT|AVAXUSDT,0.25516,31,positive,1.457304,87,positive,1.712464,118,-1.208274,-4.337737,-5.546011,1.463434,5.795041,7.258475
1,2022-03-28T00:00:00,2022-06-26T00:00:00,40,0.0,BTCUSDT|ETHUSDT|MATICUSDT|SOLUSDT|AVAXUSDT,0.05895,43,positive,0.321851,38,positive,0.380801,81,-1.208274,-4.337737,-5.546011,1.267224,4.659588,5.926812
1,2022-03-28T00:00:00,2022-06-26T00:00:00,40,0.03,BTCUSDT|ETHUSDT|MATICUSDT|SOLUSDT|AVAXUSDT,0.013767,24,positive,0.174741,24,positive,0.188508,48,-1.208274,-4.337737,-5.546011,1.222041,4.512478,5.734519
2,2022-06-26T00:00:00,2022-09-24T00:00:00,20,0.0,BTCUSDT|ETHUSDT|SOLUSDT|AVAXUSDT|XRPUSDT,1.025223,367,positive,1.460669,242,positive,2.485892,609,-0.939378,1.73856,0.799182,1.964601,-0.27789,1.68671
2,2022-06-26T00:00:00,2022-09-24T00:00:00,20,0.03,BTCUSDT|ETHUSDT|SOLUSDT|AVAXUSDT|XRPUSDT,0.926942,262,positive,1.141617,215,positive,2.068559,477,-0.939378,1.73856,0.799182,1.866319,-0.596942,1.269377
2,2022-06-26T00:00:00,2022-09-24T00:00:00,40,0.0,BTCUSDT|ETHUSDT|SOLUSDT|AVAXUSDT|XRPUSDT,0.282403,384,positive,1.68484,256,positive,1.967243,640,-0.939378,1.73856,0.799182,1.221781,-0.053719,1.168061
2,2022-06-26T00:00:00,2022-09-24T00:00:00,40,0.03,BTCUSDT|ETHUSDT|SOLUSDT|AVAXUSDT|XRPUSDT,0.726292,293,positive,1.767497,238,positive,2.493789,531,-0.939378,1.73856,0.799182,1.66567,0.028937,1.694607
3,2022-09-24T00:00:00,2022-12-23T00:00:00,20,0.0,BTCUSDT|ETHUSDT|SOLUSDT|ADAUSDT|AVAXUSDT,0.522493,286,positive,0.969764,223,positive,1.492257,509,-0.536807,-1.626013,-2.16282,1.0593,2.595777,3.655077
3,2022-09-24T00:00:00,2022-12-23T00:00:00,20,0.03,BTCUSDT|ETHUSDT|SOLUSDT|ADAUSDT|AVAXUSDT,0.443647,92,positive,0.686624,167,positive,1.130271,259,-0.536807,-1.626013,-2.16282,0.980454,2.312636,3.293091
3,2022-09-24T00:00:00,2022-12-23T00:00:00,40,0.0,BTCUSDT|ETHUSDT|SOLUSDT|ADAUSDT|AVAXUSDT,0.332163,228,positive,0.505209,202,positive,0.837371,430,-0.536807,-1.626013,-2.16282,0.86897,2.131221,3.000191
