split_index,test_start,test_end,param_return_period,param_threshold,universe,tsmm_low_vol_return,tsmm_low_vol_trials,tsmm_low_vol_sign,tsmm_high_vol_return,tsmm_high_vol_trials,tsmm_high_vol_sign,tsmm_total_return,tsmm_total_trials,benchmark_low_vol_return,benchmark_high_vol_return,benchmark_total_return,low_vol_excess,high_vol_excess,total_excess
0,2021-09-28T00:00:00+00:00,2021-12-27T00:00:00+00:00,20,0.0,BTCUSDT|ETHUSDT|BNBUSDT|XRPUSDT|MATICUSDT,1.491558,355,positive,1.868755,359,positive,3.360313,714,-0.08989,1.23851,1.14862,1.581448,0.630245,2.211693
0,2021-09-28T00:00:00+00:00,2021-12-27T00:00:00+00:00,20,0.03,BTCUSDT|ETHUSDT|BNBUSDT|XRPUSDT|MATICUSDT,1.565168,259,positive,1.851308,287,positive,3.416476,546,-0.08989,1.23851,1.14862,1.655058,0.612798,2.267856
0,2021-09-28T00:00:00+00:00,2021-12-27T00:00:00+00:00,40,0.0,BTCUSDT|ETHUSDT|BNBUSDT|XRPUSDT|MATICUSDT,0.915434,334,positive,1.240811,301,positive,2.156245,635,-0.08989,1.23851,1.14862,1.005324,0.002301,1.007625
0,2021-09-28T00:00:00+00:00,2021-12-27T00:00:00+00:00,40,0.03,BTCUSDT|ETHUSDT|BNBUSDT|XRPUSDT|MATICUSDT,0.863258,283,positive,1.147586,278,positive,2.010844,561,-0.08989,1.23851,1.14862,0.953148,-0.090924,0.862224
1,2021-12-27T00:00:00+00:00,2022-03-27T00:00:00+00:00,20,0.0,BTCUSDT|ETHUSDT|SOLUSDT|ADAUSDT|XRPUSDT,1.475667,416,positive,1.079222,156,positive,2.554889,572,0.412466,-1.429203,-1.016738,1.063201,2.508425,3.571626
1,2021-12-27T00:00:00+00:00,2022-03-27T00:00:00+00:00,20,0.03,BTCUSDT|ETHUSDT|SOLUSDT|ADAUSDT|XRPUSDT,1.424437,318,positive,0.926433,127,positive,2.35087,445,0.412466,-1.429203,-1.016738,1.011971,2.355636,3.367608
1,2021-12-27T00:00:00+00:00,2022-03-27T00:00:00+00:00,40,0.0,BTCUSDT|ETHUSDT|SOLUSDT|ADAUSDT|XRPUSDT,1.258717,332,positive,0.093887,87,positive,1.352605,419,0.412466,-1.429203,-1.016738,0.846252,1.523091,2.369342
1,2021-12-27T00:00:00+00:00,2022-03-27T00:00:00+00:00,40,0.03,BTCUSDT|ETHUSDT|SOLUSDT|ADAUSDT|XRPUSDT,1.506565,292,positive,0.121915,68,positive,1.62848,360,0.412466,-1.429203,-1.016738,1.094099,1.551118,2.645217
2,2022-03-27T00:00:00+00:00,2022-06-25T00:00:00+00:00,20,0.0,BTCUSDT|ETHUSDT|MATICUSDT|SOLUSDT|AVAXUSDT,0.590397,113,positive,1.503797,133,positive,2.094194,246,-1.236415,-4.26688,-5.503295,1.826812,5.770677,7.597489
2,2022-03-27T00:00:00+00:00,2022-06-25T00:00:00+00:00,20,0.03,BTCUSDT|ETHUSDT|MATICUSDT|SOLUSDT|AVAXUSDT,0.219087,37,positive,1.514222,76,positive,1.733309,113,-1.236415,-4.26688,-5.503295,1.455502,5.781102,7.236604
2,2022-03-27T00:00:00+00:00,2022-06-25T00:00:00+00:00,40,0.0,BTCUSDT|ETHUSDT|MATICUSDT|SOLUSDT|AVAXUSDT,0.083736,46,positive,0.297567,30,positive,0.381303,76,-1.236415,-4.26688,-5.503295,1.320151,4.564446,5.884598
2,2022-03-27T00:00:00+00:00,2022-06-25T00:00:00+00:00,40,0.03,BTCUSDT|ETHUSDT|MATICUSDT|SOLUSDT|AVAXUSDT,0.038553,27,positive,0.135301,15,positive,0.173854,42,-1.236415,-4.26688,-5.503295,1.274968,4.40218,5.677148
3,2022-06-25T00:00:00+00:00,2022-09-23T00:00:00+00:00,20,0.0,BTCUSDT|ETHUSDT|SOLUSDT|AVAXUSDT|XRPUSDT,0.910094,357,positive,1.465233,247,positive,2.375327,604,-0.928286,1.674752,0.746466,1.83838,-0.209519,1.62886
3,2022-06-25T00:00:00+00:00,2022-09-23T00:00:00+00:00,20,0.03,BTCUSDT|ETHUSDT|SOLUSDT|AVAXUSDT|XRPUSDT,0.84159,256,positive,1.185431,218,positive,2.027021,474,-0.928286,1.674752,0.746466,1.769876,-0.489321,1.280555
3,2022-06-25T00:00:00+00:00,2022-09-23T00:00:00+00:00,40,0.0,BTCUSDT|ETHUSDT|SOLUSDT|AVAXUSDT|XRPUSDT,0.378291,377,positive,1.511084,264,positive,1.889375,641,-0.928286,1.674752,0.746466,1.306577,-0.163669,1.142909
3,2022-06-25T00:00:00+00:00,2022-09-23T00:00:00+00:00,40,0.03,BTCUSDT|ETHUSDT|SOLUSDT|AVAXUSDT|XRPUSDT,0.859513,284,positive,1.592738,244,positive,2.452251,528,-0.928286,1.674752,0.746466,1.787799,-0.082014,1.705785
4,2022-09-23T00:00:00+00:00,2022-12-22T00:00:00+00:00,20,0.0,BTCUSDT|ETHUSDT|SOLUSDT|ADAUSDT|AVAXUSDT,0.529888,289,positive,0.97939,229,positive,1.509279,518,-0.606171,-1.61044,-2.216611,1.13606,2.58983,3.72589
4,2022-09-23T00:00:00+00:00,2022-12-22T00:00:00+00:00,20,0.03,BTCUSDT|ETHUSDT|SOLUSDT|ADAUSDT|AVAXUSDT,0.422059,91,positive,0.718966,171,positive,1.141025,262,-0.606171,-1.61044,-2.216611,1.02823,2.329405,3.357636
